records_lost_range,count_all_breaches,count_breach_articles,count_breach_no_articles,percentage_all_breaches,percentage_breach_articles,percentage_breach_no_articles
100K-1M,48,14.0,34,24.615384615384617,18.181818181818183,28.8135593220339
100M+,23,12.0,11,11.794871794871794,15.584415584415584,9.322033898305085
10K-100K,7,2.0,5,3.5897435897435894,2.5974025974025974,4.23728813559322
10M-25M,23,7.0,16,11.794871794871794,9.090909090909092,13.559322033898304
1K-10K,1,0.0,1,0.5128205128205128,0.0,0.847457627118644
1M-2.5M,27,9.0,18,13.846153846153847,11.688311688311687,15.254237288135593
2.5M-5M,22,10.0,12,11.282051282051283,12.987012987012985,10.16949152542373
25M-50M,16,5.0,11,8.205128205128204,6.493506493506493,9.322033898305085
50M-100M,17,12.0,5,8.717948717948717,15.584415584415584,4.23728813559322
5M-10M,11,6.0,5,5.641025641025641,7.792207792207792,4.23728813559322
