industry,count_all_articles,Companies from data breaches,count_breach_articles,Companies from articles about breaches,percentage_difference
consumer electronics,3.0,1.2987012987012987,926,7.302839116719243,6.004137818017944
marketing and advertising,5.0,2.1645021645021645,699,5.512618296529968,3.348116132027804
automotive,2.0,0.8658008658008658,465,3.6671924290220823,2.8013915632212165
internet,52.0,22.51082251082251,3199,25.228706624605678,2.7178841137831675
aviation & aerospace,0.0,0.0,262,2.0662460567823344,2.0662460567823344
pharmaceuticals,0.0,0.0,222,1.750788643533123,1.750788643533123
oil & energy,2.0,0.8658008658008658,277,2.184542586750789,1.318741720949923
financial services,15.0,6.493506493506493,989,7.799684542586751,1.3061780490802581
entertainment,6.0,2.5974025974025974,462,3.643533123028391,1.0461305256257938
restaurants,1.0,0.4329004329004329,178,1.4037854889589907,0.9708850560585578
law enforcement,1.0,0.4329004329004329,162,1.2776025236593058,0.8447020907588729
sports,0.0,0.0,107,0.8438485804416405,0.8438485804416405
printing,0.0,0.0,92,0.725552050473186,0.725552050473186
biotechnology,0.0,0.0,87,0.6861198738170347,0.6861198738170347
consumer goods,0.0,0.0,72,0.5678233438485805,0.5678233438485805
