industry,count_all_articles,percentage_all_articles,count_breach_articles,percentage_breach_articles,count_non_breach_articles,percentage_non_breach_articles
internet,31519,21.402331787409437,3199.0,25.22870662460568,28320.0,21.041838486057554
consumer electronics,14275,9.693146554943674,926.0,7.302839116719243,13349.0,9.918343995423102
retail,9989,6.782825985102092,530.0,4.17981072555205,9459.0,7.02806321467579
marketing and advertising,9871,6.702700500444764,699.0,5.512618296529968,9172.0,6.814821419283894
automotive,8117,5.511682703080758,465.0,3.6671924290220814,7652.0,5.685457206755381
financial services,5459,3.7068222096979,989.0,7.799684542586751,4470.0,3.321222388159508
entertainment,4936,3.351689764987879,462.0,3.643533123028391,4474.0,3.324194399245109
computer software,4444,3.0176072357386823,319.0,2.5157728706624605,4125.0,3.0648864320263915
information technology and services,3821,2.5945718379292315,424.0,3.3438485804416405,3397.0,2.523980414446946
restaurants,3589,2.437036986738553,178.0,1.4037854889589907,3411.0,2.534382453246551
airlines/aviation,3250,2.2068459757314844,226.0,1.782334384858044,3024.0,2.24684038071462
telecommunications,2707,1.838132940401578,196.0,1.5457413249211356,2511.0,1.865679958986247
oil & energy,2635,1.7892428141699883,277.0,2.184542586750789,2358.0,1.7520005349619954
aviation & aerospace,2565,1.741710747000387,262.0,2.0662460567823344,2303.0,1.7111353825349767
broadcast media,1941,1.317996319659942,71.0,0.5599369085173502,1870.0,1.389415182518631
online media,1790,1.2154628604798023,81.0,0.6388012618296529,1709.0,1.2697917363231765
sports,1754,1.1910177973640077,107.0,0.8438485804416405,1647.0,1.2237255644963556
pharmaceuticals,1706,1.1584243798762808,222.0,1.750788643533123,1484.0,1.1026161127581007
investment banking,1581,1.073545688501993,79.0,0.6230283911671924,1502.0,1.1159901626433066
food & beverages,1559,1.0586070388201183,57.0,0.4495268138801261,1502.0,1.1159901626433066
apparel & fashion,1540,1.0457054777312265,48.0,0.3785488958990536,1492.0,1.1085601349293033
banking,1251,0.849465943273873,198.0,1.561514195583596,1053.0,0.7823819182845552
electrical/electronic manufacturing,1191,0.8087241714142148,26.0,0.2050473186119874,1165.0,0.865598228681393
consumer goods,1020,0.692610121614189,72.0,0.5678233438485805,948.0,0.7043666272875198
hospital & health care,1012,0.6871778853662346,142.0,1.1198738170347005,870.0,0.6464124111182934
publishing,935,0.6348926114796732,21.0,0.1656151419558359,914.0,0.6791045330599083
sporting goods,897,0.6090894893018897,23.0,0.1813880126182965,874.0,0.6493844222038948
insurance,868,0.589397632903055,83.0,0.6545741324921136,785.0,0.5832571755492648
real estate,844,0.5731009241591917,39.0,0.3075709779179811,805.0,0.5981172309772715
media production,839,0.5697057765042202,41.0,0.3233438485804417,798.0,0.5929162115774692
biotechnology,712,0.4834690260679437,87.0,0.6861198738170347,625.0,0.4643767321252108
newspapers,665,0.4515546381112114,49.0,0.3864353312302839,616.0,0.4576897071826078
computer games,644,0.4372950179603311,43.0,0.3391167192429022,601.0,0.4465446656116028
food production,624,0.423714427340445,63.0,0.4968454258675078,561.0,0.4168245547555892
hospitality,609,0.4135289843755305,62.0,0.4889589905362775,547.0,0.4064225159559845
transportation/trucking/railroad,575,0.3904419803217241,33.0,0.2602523659305993,542.0,0.4027075020989829
staffing and recruiting,561,0.3809355668878039,19.0,0.1498422712933754,542.0,0.4027075020989829
"health, wellness and fitness",541,0.3673549762679179,28.0,0.2208201892744479,513.0,0.38116042172837306
luxury goods & jewelry,523,0.3551324447100204,17.0,0.1340694006309148,506.0,0.37595940232857067
construction,501,0.3401937950281457,86.0,0.6782334384858044,415.0,0.30834615013114
writing and editing,477,0.3238970862842825,28.0,0.2208201892744479,449.0,0.33360824435875147
non-profit organization management,468,0.3177858205053337,39.0,0.3075709779179811,429.0,0.3187481889307447
music,447,0.3035262003544534,22.0,0.1735015772870662,425.0,0.3157761778451434
higher education,436,0.296056875513516,59.0,0.4652996845425867,377.0,0.2801120448179272
public relations and communications,432,0.2933407573895388,27.0,0.2129337539432176,405.0,0.3009161224171366
design,419,0.2845133734866129,30.0,0.2365930599369085,389.0,0.2890280780747312
"leisure, travel & tourism",384,0.2607473399018123,28.0,0.2208201892744479,356.0,0.2645089866185201
consumer services,354,0.2403764539719832,53.0,0.417981072555205,301.0,0.22364383419150152
chemicals,337,0.2288329519450801,53.0,0.417981072555205,284.0,0.21101278707769583
computer hardware,327,0.222042656635137,17.0,0.1340694006309148,310.0,0.23033085913410456
wholesale,321,0.2179684794491712,14.0,0.1104100946372239,307.0,0.22810185081990356
semiconductors,312,0.2118572136702225,5.0,0.0394321766561514,307.0,0.22810185081990356
information services,298,0.2023508002363022,58.0,0.4574132492113565,240.0,0.17832066513608094
computer networking,291,0.1975975935193421,10.0,0.0788643533123028,281.0,0.2087837787634948
mining & metals,287,0.1948814753953649,16.0,0.1261829652996845,271.0,0.20135375104949144
facilities services,279,0.1894492391474105,31.0,0.2444794952681387,248.0,0.18426468730728365
management consulting,256,0.1738315599345415,17.0,0.1340694006309148,239.0,0.17757766236468062
law enforcement,254,0.1724735008725529,162.0,1.2776025236593058,92.0,0.06835625496883103
computer & network security,253,0.1717944713415586,103.0,0.8123028391167193,150.0,0.11145041571005058
defense & space,243,0.1650041760316156,13.0,0.1025236593059937,230.0,0.1708906374220776
wireless,238,0.1616090283766441,3.0,0.0236593059936908,235.0,0.17460565127907926
executive office,235,0.1595719397836612,25.0,0.1971608832807571,210.0,0.15603058199407083
investment management,230,0.1561767921286896,23.0,0.1813880126182965,207.0,0.15380157367986982
government administration,228,0.154818733066701,113.0,0.891167192429022,115.0,0.0854453187110388
package/freight delivery,226,0.1534606740047124,14.0,0.1104100946372239,212.0,0.1575165875368715
business supplies and equipment,216,0.1466703786947694,9.0,0.0709779179810725,207.0,0.15380157367986982
human resources,214,0.1453123196327808,34.0,0.2681388012618296,180.0,0.1337404988520607
events services,210,0.1425962015088036,23.0,0.1813880126182965,187.0,0.13894151825186307
medical devices,199,0.1351268766678663,19.0,0.1498422712933754,180.0,0.1337404988520607
motion pictures and film,195,0.132410758543889,26.0,0.2050473186119874,169.0,0.125567468366657
professional training & coaching,185,0.125620463233946,10.0,0.0788643533123028,175.0,0.13002548499505903
machinery,184,0.1249414337029517,9.0,0.0709779179810725,175.0,0.13002548499505903
research,165,0.1120398726140599,59.0,0.4652996845425867,106.0,0.07875829376843575
cosmetics,163,0.1106818135520713,4.0,0.0315457413249211,159.0,0.11813744065265364
accounting,158,0.1072866658970998,12.0,0.0946372239747634,146.0,0.10847840462444924
mechanical or industrial engineering,155,0.1052495773041169,8.0,0.0630914826498422,147.0,0.10922140739584958
e-learning,151,0.1025334591801397,9.0,0.0709779179810725,142.0,0.10550639353884791
Other,3182,2.160671967623869,546.0,4.305993690851731,2636.0,1.9585553054112894
